param liczba_scenariuszy := 50;

param koszt_dodatkowego_mw: T1 T2 T3 :=
	1 2.369744 3.781256 1.134698
	2 2.671612 1.698941 3.376572
	3 3.028807 1.835408 1.082993
	4 1.196862 4.067011 4.231993
	5 1.739105 3.939888 4.195082
	6 2.501709 4.066995 3.155628
	7 3.141466 1.59192 2.208476
	8 1.818797 2.570719 1.297639
	9 2.993546 1.095394 3.085584
	10 3.357736 2.739784 1.07475
	11 1.407987 3.216315 4.347164
	12 3.270016 1.538706 2.816424
	13 1.647553 1.986992 4.657482
	14 2.483091 3.131922 2.014171
	15 1.185872 1.180437 4.595698
	16 1.473179 3.57896 4.572123
	17 2.495116 3.223201 1.29961
	18 2.823727 2.738796 2.644879
	19 3.029102 3.823621 2.845036
	20 1.125071 3.88805 2.272419
	21 2.486924 2.52573 3.260014
	22 2.543415 3.245757 3.017388
	23 1.174399 4.720455 2.908221
	24 1.709779 4.751756 4.505638
	25 2.689284 1.270351 1.298608
	26 3.262696 1.573083 2.547485
	27 2.814065 2.440014 1.045145
	28 2.089165 3.984548 2.738291
	29 2.283959 2.631323 1.527385
	30 2.637268 1.57702 3.827264
	31 2.195066 2.330233 4.606893
	32 3.597097 2.533136 3.167178
	33 1.69087 4.230758 4.797132
	34 2.818812 4.462204 2.782316
	35 2.525788 1.303315 4.507463
	36 2.049563 3.915634 2.639463
	37 2.072427 3.482026 3.795531
	38 2.140601 4.375057 3.6351
	39 2.60778 2.666006 4.543306
	40 2.280454 2.442478 2.994336
	41 1.846837 3.806692 3.853699
	42 2.955666 2.153278 3.505239
	43 3.17734 1.836182 4.516157
	44 4.278254 1.546818 2.066702
	45 2.165816 2.040713 4.784702
	46 2.139272 4.2412 2.105965
	47 2.655867 2.6367 3.037093
	48 3.427036 2.099137 1.736905
	49 2.289363 1.11111 3.874789
	50 2.333232 3.044901 3.584657
;
